id,label,properties
7663,date,"{""datetime"":""1922-04-10"",""__unique"":[""datetime""],""__label"":""date""}"
418,date,"{""datetime"":""1935-06-01"",""__unique"":[""datetime""],""__label"":""date""}"
14904,date,"{""datetime"":""1936-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
1670,date,"{""datetime"":""1927-12-18"",""__unique"":[""datetime""],""__label"":""date""}"
8180,date,"{""datetime"":""1939-01-26"",""__unique"":[""datetime""],""__label"":""date""}"
17693,date,"{""datetime"":""1935-06-10"",""__unique"":[""datetime""],""__label"":""date""}"
1933,date,"{""datetime"":""1921-02-06"",""__unique"":[""datetime""],""__label"":""date""}"
12838,date,"{""datetime"":""1926-10-25"",""__unique"":[""datetime""],""__label"":""date""}"
14304,date,"{""datetime"":""1929-07-21"",""__unique"":[""datetime""],""__label"":""date""}"
14450,date,"{""datetime"":""1925-07-16"",""__unique"":[""datetime""],""__label"":""date""}"
10304,date,"{""datetime"":""1934-08-01"",""__unique"":[""datetime""],""__label"":""date""}"
9417,date,"{""datetime"":""1919-08-03"",""__unique"":[""datetime""],""__label"":""date""}"
13858,date,"{""datetime"":""1903-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
1878,date,"{""datetime"":""1916-08-10"",""__unique"":[""datetime""],""__label"":""date""}"
19281,date,"{""datetime"":""1919-07-20"",""__unique"":[""datetime""],""__label"":""date""}"
11324,date,"{""datetime"":""1913-12-26"",""__unique"":[""datetime""],""__label"":""date""}"
11040,date,"{""datetime"":""1936-01-05"",""__unique"":[""datetime""],""__label"":""date""}"
8669,date,"{""datetime"":""1931-01-29"",""__unique"":[""datetime""],""__label"":""date""}"
6515,date,"{""datetime"":""1925-07-22"",""__unique"":[""datetime""],""__label"":""date""}"
483,date,"{""datetime"":""1916-08-07"",""__unique"":[""datetime""],""__label"":""date""}"
11376,date,"{""datetime"":""1923-03-10"",""__unique"":[""datetime""],""__label"":""date""}"
13548,date,"{""datetime"":""1931-08-30"",""__unique"":[""datetime""],""__label"":""date""}"
21,date,"{""datetime"":""1911-01-22"",""__unique"":[""datetime""],""__label"":""date""}"
3153,date,"{""datetime"":""1924-06-01"",""__unique"":[""datetime""],""__label"":""date""}"
767,date,"{""datetime"":""1912-10-03"",""__unique"":[""datetime""],""__label"":""date""}"
7732,date,"{""datetime"":""1928-04-05"",""__unique"":[""datetime""],""__label"":""date""}"
5137,date,"{""datetime"":""1910-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
383,date,"{""datetime"":""1939-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
3029,date,"{""datetime"":""1934-04-01"",""__unique"":[""datetime""],""__label"":""date""}"
17307,date,"{""datetime"":""1925-07-21"",""__unique"":[""datetime""],""__label"":""date""}"
3848,date,"{""datetime"":""1911-10-04"",""__unique"":[""datetime""],""__label"":""date""}"
172,date,"{""datetime"":""1907-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
11854,date,"{""datetime"":""1933-07-14"",""__unique"":[""datetime""],""__label"":""date""}"
13274,date,"{""datetime"":""1911-08-02"",""__unique"":[""datetime""],""__label"":""date""}"
903,date,"{""datetime"":""1911-09-27"",""__unique"":[""datetime""],""__label"":""date""}"
12301,date,"{""datetime"":""1898-07-04"",""__unique"":[""datetime""],""__label"":""date""}"
618,date,"{""datetime"":""1927-06-08"",""__unique"":[""datetime""],""__label"":""date""}"
6381,date,"{""datetime"":""1921-04-02"",""__unique"":[""datetime""],""__label"":""date""}"
3527,date,"{""datetime"":""1910-12-31"",""__unique"":[""datetime""],""__label"":""date""}"
17592,date,"{""datetime"":""1926-03-01"",""__unique"":[""datetime""],""__label"":""date""}"
3565,date,"{""datetime"":""1884-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
15209,date,"{""datetime"":""1683-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
1606,date,"{""datetime"":""1912-12-27"",""__unique"":[""datetime""],""__label"":""date""}"
3622,date,"{""datetime"":""1917-07-29"",""__unique"":[""datetime""],""__label"":""date""}"
432,date,"{""datetime"":""1923-03-30"",""__unique"":[""datetime""],""__label"":""date""}"
16539,date,"{""datetime"":""1930-07-23"",""__unique"":[""datetime""],""__label"":""date""}"
1534,date,"{""datetime"":""1912-04-01"",""__unique"":[""datetime""],""__label"":""date""}"
2056,date,"{""datetime"":""1931-07-19"",""__unique"":[""datetime""],""__label"":""date""}"
8938,date,"{""datetime"":""1925-07-25"",""__unique"":[""datetime""],""__label"":""date""}"
474,date,"{""datetime"":""1913-07-19"",""__unique"":[""datetime""],""__label"":""date""}"
4390,date,"{""datetime"":""1909-07-25"",""__unique"":[""datetime""],""__label"":""date""}"
7403,date,"{""datetime"":""1935-06-22"",""__unique"":[""datetime""],""__label"":""date""}"
10104,date,"{""datetime"":""1937-06-20"",""__unique"":[""datetime""],""__label"":""date""}"
2931,date,"{""datetime"":""1925-10-12"",""__unique"":[""datetime""],""__label"":""date""}"
8916,date,"{""datetime"":""1927-06-07"",""__unique"":[""datetime""],""__label"":""date""}"
6913,date,"{""datetime"":""1930-12-03"",""__unique"":[""datetime""],""__label"":""date""}"
699,date,"{""datetime"":""1934-07-28"",""__unique"":[""datetime""],""__label"":""date""}"
8437,date,"{""datetime"":""1933-01-06"",""__unique"":[""datetime""],""__label"":""date""}"
2483,date,"{""datetime"":""1911-07-25"",""__unique"":[""datetime""],""__label"":""date""}"
16516,date,"{""datetime"":""1930-09-02"",""__unique"":[""datetime""],""__label"":""date""}"
17189,date,"{""datetime"":""1914-04-06"",""__unique"":[""datetime""],""__label"":""date""}"
1157,date,"{""datetime"":""1924-05-14"",""__unique"":[""datetime""],""__label"":""date""}"
1688,date,"{""datetime"":""1909-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
7567,date,"{""datetime"":""1924-08-01"",""__unique"":[""datetime""],""__label"":""date""}"
5458,date,"{""datetime"":""1912-06-30"",""__unique"":[""datetime""],""__label"":""date""}"
6037,date,"{""datetime"":""1935-05-26"",""__unique"":[""datetime""],""__label"":""date""}"
12518,date,"{""datetime"":""1911-08-08"",""__unique"":[""datetime""],""__label"":""date""}"
594,date,"{""datetime"":""1848-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
15573,date,"{""datetime"":""1919-08-10"",""__unique"":[""datetime""],""__label"":""date""}"
5575,date,"{""datetime"":""1935-05-25"",""__unique"":[""datetime""],""__label"":""date""}"
15017,date,"{""datetime"":""1936-12-25"",""__unique"":[""datetime""],""__label"":""date""}"
4581,date,"{""datetime"":""1923-05-04"",""__unique"":[""datetime""],""__label"":""date""}"
3287,date,"{""datetime"":""1912-08-25"",""__unique"":[""datetime""],""__label"":""date""}"
1172,date,"{""datetime"":""1911-01-29"",""__unique"":[""datetime""],""__label"":""date""}"
8542,date,"{""datetime"":""1937-06-23"",""__unique"":[""datetime""],""__label"":""date""}"
2325,date,"{""datetime"":""1911-07-24"",""__unique"":[""datetime""],""__label"":""date""}"
18079,date,"{""datetime"":""1929-03-13"",""__unique"":[""datetime""],""__label"":""date""}"
14064,date,"{""datetime"":""1931-07-13"",""__unique"":[""datetime""],""__label"":""date""}"
15626,date,"{""datetime"":""1926-10-27"",""__unique"":[""datetime""],""__label"":""date""}"
17384,date,"{""datetime"":""1934-06-12"",""__unique"":[""datetime""],""__label"":""date""}"
6113,date,"{""datetime"":""1912-05-17"",""__unique"":[""datetime""],""__label"":""date""}"
2801,date,"{""datetime"":""1915-04-04"",""__unique"":[""datetime""],""__label"":""date""}"
5286,date,"{""datetime"":""1928-06-25"",""__unique"":[""datetime""],""__label"":""date""}"
8373,date,"{""datetime"":""1929-08-04"",""__unique"":[""datetime""],""__label"":""date""}"
5250,date,"{""datetime"":""1920-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
5623,date,"{""datetime"":""1920-06-27"",""__unique"":[""datetime""],""__label"":""date""}"
6616,date,"{""datetime"":""1911-12-06"",""__unique"":[""datetime""],""__label"":""date""}"
1719,date,"{""datetime"":""1910-03-27"",""__unique"":[""datetime""],""__label"":""date""}"
6975,date,"{""datetime"":""1925-05-18"",""__unique"":[""datetime""],""__label"":""date""}"
15862,date,"{""datetime"":""1910-03-26"",""__unique"":[""datetime""],""__label"":""date""}"
366,date,"{""datetime"":""1906-12-13"",""__unique"":[""datetime""],""__label"":""date""}"
7492,date,"{""datetime"":""1926-12-15"",""__unique"":[""datetime""],""__label"":""date""}"
8810,date,"{""datetime"":""1923-05-07"",""__unique"":[""datetime""],""__label"":""date""}"
9793,date,"{""datetime"":""1915-12-21"",""__unique"":[""datetime""],""__label"":""date""}"
2982,date,"{""datetime"":""1912-05-10"",""__unique"":[""datetime""],""__label"":""date""}"
9650,date,"{""datetime"":""1913-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
16063,date,"{""datetime"":""1929-03-02"",""__unique"":[""datetime""],""__label"":""date""}"
2639,date,"{""datetime"":""1925-07-31"",""__unique"":[""datetime""],""__label"":""date""}"
7824,date,"{""datetime"":""1922-10-09"",""__unique"":[""datetime""],""__label"":""date""}"
13727,date,"{""datetime"":""1930-08-09"",""__unique"":[""datetime""],""__label"":""date""}"
14750,date,"{""datetime"":""1932-01-08"",""__unique"":[""datetime""],""__label"":""date""}"
7332,date,"{""datetime"":""1921-11-20"",""__unique"":[""datetime""],""__label"":""date""}"
5434,date,"{""datetime"":""1900-01-13"",""__unique"":[""datetime""],""__label"":""date""}"
13176,date,"{""datetime"":""1933-12-26"",""__unique"":[""datetime""],""__label"":""date""}"
19842,date,"{""datetime"":""1910-05-14"",""__unique"":[""datetime""],""__label"":""date""}"
1984,date,"{""datetime"":""1922-04-16"",""__unique"":[""datetime""],""__label"":""date""}"
13734,date,"{""datetime"":""1939-02-14"",""__unique"":[""datetime""],""__label"":""date""}"
1055,date,"{""datetime"":""1933-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
2998,date,"{""datetime"":""1923-04-29"",""__unique"":[""datetime""],""__label"":""date""}"
6683,date,"{""datetime"":""1920-05-05"",""__unique"":[""datetime""],""__label"":""date""}"
7967,date,"{""datetime"":""1927-06-03"",""__unique"":[""datetime""],""__label"":""date""}"
6054,date,"{""datetime"":""1910-09-24"",""__unique"":[""datetime""],""__label"":""date""}"
9173,date,"{""datetime"":""1922-07-12"",""__unique"":[""datetime""],""__label"":""date""}"
1241,date,"{""datetime"":""1912-05-09"",""__unique"":[""datetime""],""__label"":""date""}"
1457,date,"{""datetime"":""1934-01-01"",""__unique"":[""datetime""],""__label"":""date""}"
390,date,"{""datetime"":""1913-06-15"",""__unique"":[""datetime""],""__label"":""date""}"
4306,date,"{""datetime"":""1911-08-27"",""__unique"":[""datetime""],""__label"":""date""}"
13446,date,"{""datetime"":""1929-05-25"",""__unique"":[""datetime""],""__label"":""date""}"
1601,date,"{""datetime"":""1924-07-17"",""__unique"":[""datetime""],""__label"":""date""}"
18416,date,"{""datetime"":""1936-06-14"",""__unique"":[""datetime""],""__label"":""date""}"
