id,label,properties
2703,place,"{""name"":""Hörgsdalur"",""long"":""-17.973742"",""lat"":""63.845911"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1084,place,"{""name"":""Bolungarvík"",""long"":""-23.246571594238503"",""lat"":""66.16127133372552"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2333,place,"{""name"":""Múli í Geiradal"",""long"":""-21.873655"",""lat"":""65.501349"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1584,place,"{""name"":""Refstokkur hjá Óseyrarnesi við Ölfusá"",""long"":""-21.186771"",""lat"":""63.88044"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4731,place,"{""name"":""Gufufoss í Miðhúsaá á Héraði"",""long"":""-14.327768"",""lat"":""65.267046"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4667,place,"{""name"":""Prestsetur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
936,place,"{""name"":""Gull. og Kjós.: Leira á Reykjanesi"",""long"":""-22.607423"",""lat"":""64.052621"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1104,place,"{""name"":""Hálfdanartungur í Norðurárdal"",""long"":""-18.8794898986816"",""lat"":""65.4879764332928"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1088,place,"{""name"":""Noregur"",""long"":""9.140625"",""lat"":""61.856148795668"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3944,place,"{""name"":""Klömbrur"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
3600,place,"{""name"":""Litla-Tunga"",""long"":""-20.827353"",""lat"":""65.235086"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
474,place,"{""name"":""Holt, Eyjafjöll"",""long"":""-19.79216"",""lat"":""63.550965"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4711,place,"{""name"":""Danmörk"",""long"":""10"",""lat"":""56"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4262,place,"{""name"":""Fjarðá í Loðmundarfirði"",""long"":""-13.922799"",""lat"":""65.356939"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4113,place,"{""name"":""Árbær"",""long"":""-20.349057"",""lat"":""63.863264"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4699,place,"{""name"":""Fremri-Hjarðardalur, Dýrafjörður"",""long"":""-23.399573"",""lat"":""65.883799"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
347,place,"{""name"":""Ríp"",""long"":""-19.444963"",""lat"":""65.670591"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
556,place,"{""name"":""Skriðdalur"",""long"":""-14.600314"",""lat"":""65.062387"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1279,place,"{""name"":""Laugasel"",""long"":""-17.307346"",""lat"":""65.588685"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
805,place,"{""name"":""Patreksfjörður"",""long"":""-23.996484"",""lat"":""65.598126"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2730,place,"{""name"":""Reykjavík"",""long"":""-21.94349008178733"",""lat"":""64.14745225885181"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4603,place,"{""name"":""Krosskálafjara"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
2073,place,"{""name"":""Purkey, Breiðafirði"",""long"":""-22.5308456039429"",""lat"":""65.1369182767011"",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4640,place,"{""name"":""Langaneseyjar"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
1815,place,"{""name"":""Biskupsstóll"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
4214,place,"{""name"":""Draugabæli í Vaðstakksey"",""long"":"""",""lat"":"""",""__unique"":[""name"",""lat"",""long""],""__label"":""place""}"
