src-id,dst-id,label,properties
7276,7279,date-of-narration,"{""__label"":""date-of-narration""}"
14713,14715,date-of-narration,"{""__label"":""date-of-narration""}"
15140,7240,date-of-narration,"{""__label"":""date-of-narration""}"
19709,3407,date-of-narration,"{""__label"":""date-of-narration""}"
7163,1606,date-of-narration,"{""__label"":""date-of-narration""}"
7750,4957,date-of-narration,"{""__label"":""date-of-narration""}"
9053,9054,date-of-narration,"{""__label"":""date-of-narration""}"
1371,1377,date-of-narration,"{""__label"":""date-of-narration""}"
7814,7816,date-of-narration,"{""__label"":""date-of-narration""}"
18148,10501,date-of-narration,"{""__label"":""date-of-narration""}"
3920,3923,date-of-narration,"{""__label"":""date-of-narration""}"
3831,2639,date-of-narration,"{""__label"":""date-of-narration""}"
18179,8373,date-of-narration,"{""__label"":""date-of-narration""}"
2180,1948,date-of-narration,"{""__label"":""date-of-narration""}"
11285,5490,date-of-narration,"{""__label"":""date-of-narration""}"
19154,3358,date-of-narration,"{""__label"":""date-of-narration""}"
9997,201,date-of-narration,"{""__label"":""date-of-narration""}"
10961,4486,date-of-narration,"{""__label"":""date-of-narration""}"
14579,14581,date-of-narration,"{""__label"":""date-of-narration""}"
16887,4132,date-of-narration,"{""__label"":""date-of-narration""}"
3481,3314,date-of-narration,"{""__label"":""date-of-narration""}"
17013,284,date-of-narration,"{""__label"":""date-of-narration""}"
5128,3937,date-of-narration,"{""__label"":""date-of-narration""}"
16421,5706,date-of-narration,"{""__label"":""date-of-narration""}"
3854,3856,date-of-narration,"{""__label"":""date-of-narration""}"
13907,3440,date-of-narration,"{""__label"":""date-of-narration""}"
12232,12233,date-of-narration,"{""__label"":""date-of-narration""}"
17369,16079,date-of-narration,"{""__label"":""date-of-narration""}"
14544,12838,date-of-narration,"{""__label"":""date-of-narration""}"
3725,3727,date-of-narration,"{""__label"":""date-of-narration""}"
19396,1650,date-of-narration,"{""__label"":""date-of-narration""}"
12346,4758,date-of-narration,"{""__label"":""date-of-narration""}"
12617,6276,date-of-narration,"{""__label"":""date-of-narration""}"
14782,201,date-of-narration,"{""__label"":""date-of-narration""}"
6318,390,date-of-narration,"{""__label"":""date-of-narration""}"
9987,5604,date-of-narration,"{""__label"":""date-of-narration""}"
14599,14602,date-of-narration,"{""__label"":""date-of-narration""}"
2340,2343,date-of-narration,"{""__label"":""date-of-narration""}"
17505,4678,date-of-narration,"{""__label"":""date-of-narration""}"
9415,9417,date-of-narration,"{""__label"":""date-of-narration""}"
4595,4597,date-of-narration,"{""__label"":""date-of-narration""}"
4559,4562,date-of-narration,"{""__label"":""date-of-narration""}"
1950,1951,date-of-narration,"{""__label"":""date-of-narration""}"
18435,1650,date-of-narration,"{""__label"":""date-of-narration""}"
16978,4252,date-of-narration,"{""__label"":""date-of-narration""}"
11168,11169,date-of-narration,"{""__label"":""date-of-narration""}"
13575,2931,date-of-narration,"{""__label"":""date-of-narration""}"
10410,2172,date-of-narration,"{""__label"":""date-of-narration""}"
1144,1157,date-of-narration,"{""__label"":""date-of-narration""}"
8685,3440,date-of-narration,"{""__label"":""date-of-narration""}"
9638,3018,date-of-narration,"{""__label"":""date-of-narration""}"
12462,5971,date-of-narration,"{""__label"":""date-of-narration""}"
2059,2062,date-of-narration,"{""__label"":""date-of-narration""}"
14032,390,date-of-narration,"{""__label"":""date-of-narration""}"
19862,3536,date-of-narration,"{""__label"":""date-of-narration""}"
8346,3527,date-of-narration,"{""__label"":""date-of-narration""}"
14303,14304,date-of-narration,"{""__label"":""date-of-narration""}"
9614,9617,date-of-narration,"{""__label"":""date-of-narration""}"
19767,9985,date-of-narration,"{""__label"":""date-of-narration""}"
16703,3079,date-of-narration,"{""__label"":""date-of-narration""}"
11362,11364,date-of-narration,"{""__label"":""date-of-narration""}"
15545,910,date-of-narration,"{""__label"":""date-of-narration""}"
16326,7062,date-of-narration,"{""__label"":""date-of-narration""}"
10882,9054,date-of-narration,"{""__label"":""date-of-narration""}"
11199,5395,date-of-narration,"{""__label"":""date-of-narration""}"
19017,2189,date-of-narration,"{""__label"":""date-of-narration""}"
6101,5511,date-of-narration,"{""__label"":""date-of-narration""}"
5740,5742,date-of-narration,"{""__label"":""date-of-narration""}"
3044,1710,date-of-narration,"{""__label"":""date-of-narration""}"
18996,468,date-of-narration,"{""__label"":""date-of-narration""}"
4273,4280,date-of-narration,"{""__label"":""date-of-narration""}"
6752,5468,date-of-narration,"{""__label"":""date-of-narration""}"
7229,1688,date-of-narration,"{""__label"":""date-of-narration""}"
18199,18202,date-of-narration,"{""__label"":""date-of-narration""}"
13544,2309,date-of-narration,"{""__label"":""date-of-narration""}"
16734,9142,date-of-narration,"{""__label"":""date-of-narration""}"
8933,8934,date-of-narration,"{""__label"":""date-of-narration""}"
8985,903,date-of-narration,"{""__label"":""date-of-narration""}"
14659,910,date-of-narration,"{""__label"":""date-of-narration""}"
14401,6276,date-of-narration,"{""__label"":""date-of-narration""}"
7405,1856,date-of-narration,"{""__label"":""date-of-narration""}"
9067,9068,date-of-narration,"{""__label"":""date-of-narration""}"
19545,19546,date-of-narration,"{""__label"":""date-of-narration""}"
13,21,date-of-narration,"{""__label"":""date-of-narration""}"
19056,3568,date-of-narration,"{""__label"":""date-of-narration""}"
5247,5250,date-of-narration,"{""__label"":""date-of-narration""}"
12008,12010,date-of-narration,"{""__label"":""date-of-narration""}"
14620,9043,date-of-narration,"{""__label"":""date-of-narration""}"
12631,735,date-of-narration,"{""__label"":""date-of-narration""}"
6712,6714,date-of-narration,"{""__label"":""date-of-narration""}"
14991,735,date-of-narration,"{""__label"":""date-of-narration""}"
12528,6714,date-of-narration,"{""__label"":""date-of-narration""}"
13714,183,date-of-narration,"{""__label"":""date-of-narration""}"
6680,6683,date-of-narration,"{""__label"":""date-of-narration""}"
537,540,date-of-narration,"{""__label"":""date-of-narration""}"
11095,858,date-of-narration,"{""__label"":""date-of-narration""}"
18698,483,date-of-narration,"{""__label"":""date-of-narration""}"
1866,313,date-of-narration,"{""__label"":""date-of-narration""}"
18215,1878,date-of-narration,"{""__label"":""date-of-narration""}"
10084,10085,date-of-narration,"{""__label"":""date-of-narration""}"
18124,2901,date-of-narration,"{""__label"":""date-of-narration""}"
19859,8104,date-of-narration,"{""__label"":""date-of-narration""}"
575,594,date-of-narration,"{""__label"":""date-of-narration""}"
6070,1920,date-of-narration,"{""__label"":""date-of-narration""}"
18761,13024,date-of-narration,"{""__label"":""date-of-narration""}"
7027,7031,date-of-narration,"{""__label"":""date-of-narration""}"
5294,313,date-of-narration,"{""__label"":""date-of-narration""}"
13378,13089,date-of-narration,"{""__label"":""date-of-narration""}"
6428,6433,date-of-narration,"{""__label"":""date-of-narration""}"
5105,4513,date-of-narration,"{""__label"":""date-of-narration""}"
13647,5411,date-of-narration,"{""__label"":""date-of-narration""}"
14893,2172,date-of-narration,"{""__label"":""date-of-narration""}"
17788,17790,date-of-narration,"{""__label"":""date-of-narration""}"
2980,2982,date-of-narration,"{""__label"":""date-of-narration""}"
18904,18879,date-of-narration,"{""__label"":""date-of-narration""}"
2648,2655,date-of-narration,"{""__label"":""date-of-narration""}"
13441,13446,date-of-narration,"{""__label"":""date-of-narration""}"
13280,165,date-of-narration,"{""__label"":""date-of-narration""}"
2940,2944,date-of-narration,"{""__label"":""date-of-narration""}"
4201,762,date-of-narration,"{""__label"":""date-of-narration""}"
19023,5250,date-of-narration,"{""__label"":""date-of-narration""}"
18590,8951,date-of-narration,"{""__label"":""date-of-narration""}"
14960,618,date-of-narration,"{""__label"":""date-of-narration""}"
1239,1241,date-of-narration,"{""__label"":""date-of-narration""}"
12621,2316,date-of-narration,"{""__label"":""date-of-narration""}"
17867,1377,date-of-narration,"{""__label"":""date-of-narration""}"
3562,3565,date-of-narration,"{""__label"":""date-of-narration""}"
15241,15243,date-of-narration,"{""__label"":""date-of-narration""}"
11276,6465,date-of-narration,"{""__label"":""date-of-narration""}"
4639,4641,date-of-narration,"{""__label"":""date-of-narration""}"
14953,3561,date-of-narration,"{""__label"":""date-of-narration""}"
9175,944,date-of-narration,"{""__label"":""date-of-narration""}"
19031,172,date-of-narration,"{""__label"":""date-of-narration""}"
13396,3314,date-of-narration,"{""__label"":""date-of-narration""}"
13756,432,date-of-narration,"{""__label"":""date-of-narration""}"
6569,151,date-of-narration,"{""__label"":""date-of-narration""}"
13904,3915,date-of-narration,"{""__label"":""date-of-narration""}"
8576,8577,date-of-narration,"{""__label"":""date-of-narration""}"
1972,910,date-of-narration,"{""__label"":""date-of-narration""}"
2836,1670,date-of-narration,"{""__label"":""date-of-narration""}"
9949,3407,date-of-narration,"{""__label"":""date-of-narration""}"
18740,13898,date-of-narration,"{""__label"":""date-of-narration""}"
15725,2172,date-of-narration,"{""__label"":""date-of-narration""}"
16598,474,date-of-narration,"{""__label"":""date-of-narration""}"
16785,3575,date-of-narration,"{""__label"":""date-of-narration""}"
15008,11364,date-of-narration,"{""__label"":""date-of-narration""}"
15000,15001,date-of-narration,"{""__label"":""date-of-narration""}"
6549,910,date-of-narration,"{""__label"":""date-of-narration""}"
14720,10501,date-of-narration,"{""__label"":""date-of-narration""}"
19735,9655,date-of-narration,"{""__label"":""date-of-narration""}"
13419,6276,date-of-narration,"{""__label"":""date-of-narration""}"
575,595,date-of-narration,"{""__label"":""date-of-narration""}"
13648,2172,date-of-narration,"{""__label"":""date-of-narration""}"
5849,5851,date-of-narration,"{""__label"":""date-of-narration""}"
15369,6458,date-of-narration,"{""__label"":""date-of-narration""}"
6603,6605,date-of-narration,"{""__label"":""date-of-narration""}"
13330,10548,date-of-narration,"{""__label"":""date-of-narration""}"
7092,7096,date-of-narration,"{""__label"":""date-of-narration""}"
3773,3665,date-of-narration,"{""__label"":""date-of-narration""}"
12516,11364,date-of-narration,"{""__label"":""date-of-narration""}"
17603,15701,date-of-narration,"{""__label"":""date-of-narration""}"
18560,1534,date-of-narration,"{""__label"":""date-of-narration""}"
7359,7363,date-of-narration,"{""__label"":""date-of-narration""}"
18622,16664,date-of-narration,"{""__label"":""date-of-narration""}"
8548,8269,date-of-narration,"{""__label"":""date-of-narration""}"
846,850,date-of-narration,"{""__label"":""date-of-narration""}"
4845,4847,date-of-narration,"{""__label"":""date-of-narration""}"
14836,201,date-of-narration,"{""__label"":""date-of-narration""}"
8412,2944,date-of-narration,"{""__label"":""date-of-narration""}"
11242,8269,date-of-narration,"{""__label"":""date-of-narration""}"
6514,6515,date-of-narration,"{""__label"":""date-of-narration""}"
6773,5338,date-of-narration,"{""__label"":""date-of-narration""}"
423,432,date-of-narration,"{""__label"":""date-of-narration""}"
15500,1830,date-of-narration,"{""__label"":""date-of-narration""}"
11289,3146,date-of-narration,"{""__label"":""date-of-narration""}"
13110,13112,date-of-narration,"{""__label"":""date-of-narration""}"
19631,1027,date-of-narration,"{""__label"":""date-of-narration""}"
18678,5111,date-of-narration,"{""__label"":""date-of-narration""}"
3283,628,date-of-narration,"{""__label"":""date-of-narration""}"
17438,183,date-of-narration,"{""__label"":""date-of-narration""}"
17501,1509,date-of-narration,"{""__label"":""date-of-narration""}"
19448,19453,date-of-narration,"{""__label"":""date-of-narration""}"
8570,8571,date-of-narration,"{""__label"":""date-of-narration""}"
12212,10269,date-of-narration,"{""__label"":""date-of-narration""}"
13722,2655,date-of-narration,"{""__label"":""date-of-narration""}"
5610,5614,date-of-narration,"{""__label"":""date-of-narration""}"
14727,5357,date-of-narration,"{""__label"":""date-of-narration""}"
8005,240,date-of-narration,"{""__label"":""date-of-narration""}"
17407,910,date-of-narration,"{""__label"":""date-of-narration""}"
10090,10092,date-of-narration,"{""__label"":""date-of-narration""}"
5022,5027,date-of-narration,"{""__label"":""date-of-narration""}"
6284,2118,date-of-narration,"{""__label"":""date-of-narration""}"
12409,12410,date-of-narration,"{""__label"":""date-of-narration""}"
13777,6060,date-of-narration,"{""__label"":""date-of-narration""}"
15581,1193,date-of-narration,"{""__label"":""date-of-narration""}"
13085,1079,date-of-narration,"{""__label"":""date-of-narration""}"
899,903,date-of-narration,"{""__label"":""date-of-narration""}"
15709,4678,date-of-narration,"{""__label"":""date-of-narration""}"
11435,2483,date-of-narration,"{""__label"":""date-of-narration""}"
14542,151,date-of-narration,"{""__label"":""date-of-narration""}"
185,201,date-of-narration,"{""__label"":""date-of-narration""}"
13002,1830,date-of-narration,"{""__label"":""date-of-narration""}"
13037,1027,date-of-narration,"{""__label"":""date-of-narration""}"
1787,1788,date-of-narration,"{""__label"":""date-of-narration""}"
2317,2319,date-of-narration,"{""__label"":""date-of-narration""}"
10732,10737,date-of-narration,"{""__label"":""date-of-narration""}"
19978,10234,date-of-narration,"{""__label"":""date-of-narration""}"
3241,1719,date-of-narration,"{""__label"":""date-of-narration""}"
2508,2511,date-of-narration,"{""__label"":""date-of-narration""}"
9634,9635,date-of-narration,"{""__label"":""date-of-narration""}"
2345,2351,date-of-narration,"{""__label"":""date-of-narration""}"
7834,7835,date-of-narration,"{""__label"":""date-of-narration""}"
8238,1027,date-of-narration,"{""__label"":""date-of-narration""}"
13483,1172,date-of-narration,"{""__label"":""date-of-narration""}"
3194,2118,date-of-narration,"{""__label"":""date-of-narration""}"
12526,735,date-of-narration,"{""__label"":""date-of-narration""}"
16716,5027,date-of-narration,"{""__label"":""date-of-narration""}"
6096,3892,date-of-narration,"{""__label"":""date-of-narration""}"
9004,9006,date-of-narration,"{""__label"":""date-of-narration""}"
18654,1335,date-of-narration,"{""__label"":""date-of-narration""}"
11406,10130,date-of-narration,"{""__label"":""date-of-narration""}"
6560,6565,date-of-narration,"{""__label"":""date-of-narration""}"
17951,2807,date-of-narration,"{""__label"":""date-of-narration""}"
2300,183,date-of-narration,"{""__label"":""date-of-narration""}"
10620,4831,date-of-narration,"{""__label"":""date-of-narration""}"
12148,858,date-of-narration,"{""__label"":""date-of-narration""}"
15385,2562,date-of-narration,"{""__label"":""date-of-narration""}"
7673,7674,date-of-narration,"{""__label"":""date-of-narration""}"
16608,172,date-of-narration,"{""__label"":""date-of-narration""}"
8634,2483,date-of-narration,"{""__label"":""date-of-narration""}"
13018,7898,date-of-narration,"{""__label"":""date-of-narration""}"
19290,183,date-of-narration,"{""__label"":""date-of-narration""}"
6156,5411,date-of-narration,"{""__label"":""date-of-narration""}"
6529,4096,date-of-narration,"{""__label"":""date-of-narration""}"
14508,2172,date-of-narration,"{""__label"":""date-of-narration""}"
8595,8598,date-of-narration,"{""__label"":""date-of-narration""}"
13202,7260,date-of-narration,"{""__label"":""date-of-narration""}"
12956,10501,date-of-narration,"{""__label"":""date-of-narration""}"
