id,label,properties
8729,person,"{""name"":""Una Sigurðardóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10450,person,"{""name"":""Þóra Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12297,person,"{""name"":""Helgi Benediktsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4287,person,"{""name"":""Bóndamaður úr Biskupstungum"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2227,person,"{""name"":""Guðlaug Jónsdóttir, ljósmóðir (þingeysk sögn)"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2650,person,"{""name"":""Eyjólfur Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11714,person,"{""name"":""Ingunn Olsen Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4809,person,"{""name"":""Ólöf Kristjánsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1355,person,"{""name"":""Ingibjörg Benjamínsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4674,person,"{""name"":""Helga Benediktsdóttir Gröndal"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1781,person,"{""name"":""Stefanía Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2781,person,"{""name"":""Helgi Eiríksson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
10993,person,"{""name"":""Egill Pálsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5485,person,"{""name"":""Sagnir úr Mýrasýslu"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
168,person,"{""name"":""Sigurður Eyjólfsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
434,person,"{""name"":""Skúli Gíslason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3344,person,"{""name"":""Jón Hjaltalín Andrésson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4676,person,"{""name"":""Pétur Sigurðsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12214,person,"{""name"":""Indriði Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11649,person,"{""name"":""Sæunn Jóhanna Ólafsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5104,person,"{""name"":""Ingibjörg Jóhannsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9575,person,"{""name"":""Ragnheiður Jónsdóttir Möller"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11744,person,"{""name"":""Sölvi Guðnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2230,person,"{""name"":""Sigurður Diðriksson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2691,person,"{""name"":""Árni Jóhannsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1521,person,"{""name"":""Kristján S. Sigurðsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1771,person,"{""name"":""Pálína Ólafsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3038,person,"{""name"":""Hólmfríður Gunnlaugsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2,person,"{""name"":""Sigfús Sigfússon"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
3078,person,"{""name"":""Steingrímur Árnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
201,person,"{""name"":""Torfhildur Þorsteinsdóttir Hólm "",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
590,person,"{""name"":""Páll B. Schram"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2716,person,"{""name"":""Ólöf Nordal"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9026,person,"{""name"":""Guðjón Árnason "",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9355,person,"{""name"":""Ásgeir Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6662,person,"{""name"":""Björnfríður Ingibjörg Elínmundardóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1709,person,"{""name"":""Páll Einarsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5662,person,"{""name"":""Sagnir af Langanesströndum"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6098,person,"{""name"":""Jónína H. Snorradóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5336,person,"{""name"":""Sveinn Níelsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7606,person,"{""name"":""Valdimar Valtýsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12119,person,"{""name"":""Árni Þórðarson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4175,person,"{""name"":""Vigfús Ingvar Sigurðsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5624,person,"{""name"":""Hallgrímur Hallgrímsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
8105,person,"{""name"":""Höskuldur Guðmundsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11191,person,"{""name"":""Högni Þorsteinsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2640,person,"{""name"":""Hallur Jóhannsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11956,person,"{""name"":""Guðmundur Þorvaldsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11192,person,"{""name"":""Hansína Kr. Aradóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6579,person,"{""name"":""Sigurbjörg Gísladóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
9770,person,"{""name"":""Sigurbjörn Snjólfsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11011,person,"{""name"":""Páll Gíslason Thorarensen"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4170,person,"{""name"":""Þorvaldur Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6510,person,"{""name"":""Guðrún Jóhannsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12821,person,"{""name"":""Gísli Björnsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5307,person,"{""name"":""Bjarni Kristjánsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
1274,person,"{""name"":""Egilína Jónsdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
5684,person,"{""name"":""Pálína Pétursdóttir"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
12043,person,"{""name"":""Eggert L. Fjeldsted"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7244,person,"{""name"":""Jón Austmann Jónsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
4906,person,"{""name"":""Þorsteinn Bjarnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
6779,person,"{""name"":""Sagnir úr Skaftafellssýslum"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
7191,person,"{""name"":""Guðrún Björg"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11899,person,"{""name"":""Jóhannes Þorkelsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2412,person,"{""name"":""Arnljótur Árnason"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
11203,person,"{""name"":""Jónas Jakobsson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2092,person,"{""name"":""Játvarður Jökull Júlíusson"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
2376,person,"{""name"":""Guðrún Smith"",""gender"":""male"",""__unique"":[""gender"",""name""],""__label"":""person""}"
